Employee ID,Name,Work Hours/Week,Meeting Hours/Week,Email Response Time (min),Employee Satisfaction (1-10),Sick Days (per year),Years at Company,Training Hours Completed,Performance Rating (1-10)
E001,Walter White,31.5,6,51.6,9.1,3,7,18.8,6.9
E002,Jesse Pinkman,38.4,5.6,20.2,9.2,3,1,18.5,7.4
E003,Skyler White,37.8,10.2,15.6,8.4,1,17,29.5,10
E004,Hank Schrader,38.3,3.1,44.3,8.7,0,17,28.1,10
E005,Marie Schrader,41.2,8.3,31.4,8.9,1,11,31.1,9.8
E006,Saul Goodman,45.5,7.1,25,9,0,3,19.2,10
E007,Gustavo Fring,39,3.8,36.2,8.8,1,15,21.5,10
E008,Mike Ehrmantraut,36.5,5.2,28.4,8.9,0,11,12.4,7.5
E009,Todd Alquist,34.4,7.7,37,8.6,0,16,27.4,10
E010,Lydia Rodarte-Quayle,37.7,11.1,30.7,8,2,9,14.2,7.2
E011,Jane Margolis,30.6,6,37.2,9.1,2,1,21.1,8
E012,Hector Salamanca,36.4,11.6,21.1,8.6,3,16,14.5,7.5
E013,Tuco Salamanca,46.2,8.2,44.2,9.1,1,9,17.1,8.1
E014,Gale Boetticher,35.9,11.9,37,7.2,3,19,15.8,6.7
E015,Jack Welker,43.1,6.2,36.5,9.2,2,12,17,8.2
E016,Dwight Manfredi,33.9,7.9,18.8,9.3,1,19,17.3,7.8
E017,Stacy Beale,48.9,9.1,47,8.6,4,9,17.3,6.4
E018,Bodie,49.2,7.5,29.9,9.2,1,7,24.2,8.6
E019,Mitch Keller,43,10.9,37.3,9.1,0,14,14.5,7.1
E020,Armand Truisi,50,1.4,26.8,10,0,19,21.1,10
E021,Caolan Waltrip,41.8,15.3,32.6,7.4,0,19,26.1,10
E022,Chickie Invernizzi,43.8,10.6,33,8.6,1,2,17.4,6.9
E023,Pete Invernizzi,46.3,7.5,5,8.7,1,9,16.4,8.2
E024,Manny,40.9,6.3,35.8,8.9,3,13,18.8,7
E025,Ben Hutchins,32.2,5.4,49.7,8.9,1,15,25.9,10
E026,Mark Scout,43.9,9.9,35.4,9,2,3,21,8.3
E027,Helly R,37.6,11,20.4,7.6,1,11,17.3,7.9
E028,Irving Bailiff,38,7.5,36.5,9.4,0,14,22.4,10
E029,Dylan G,41.5,11.3,40.6,8.2,3,8,14.5,6.4
E030,Harmony Cobel,42.8,5.3,35.1,8.4,1,18,23.4,8.1
E031,Milchick,40.8,4.7,29.3,9.3,0,19,22,8.4
E032,Burt Goodman,43.2,13.4,27.6,6.6,0,16,18.5,9
E033,Devon Hale,36.5,9.8,27.5,8.6,3,2,15.8,6.4
E034,Ricken Hale,39.8,12.2,37,8.3,5,8,15.6,5.3
E035,Ms Casey,44.2,5.4,15.9,8.7,1,6,22.7,8.7
E036,Susan Mayer,48.9,5.2,26.3,9.1,0,12,26.1,10
E037,Lynette Scavo,50.6,6.9,46,9.7,0,15,16.8,8.8
E038,Bree Van de Kamp,42.2,5.5,46.3,8.8,2,8,22.3,8.6
E039,Gabrielle Solis,44.2,10.1,15.2,7.7,3,4,9.6,6.1
E040,Edie Britt,49.9,5.7,18.7,9.7,2,15,17.1,8.8
E041,Mike Delfino,36.6,4.5,27.3,10,2,20,19.8,7
E042,Carlos Solis,43.1,8.4,38.9,8.5,2,17,15.5,7.3
E043,Tom Scavo,43.8,4.1,11.7,9.8,1,13,15.3,7.7
E044,Orson Hodge,47.2,2.6,29.5,10,1,18,16.7,8.2
E045,Julie Mayer,34.3,8.4,25.3,8.1,3,2,21.5,8.4
E046,Miriam Maisel,35.3,2.8,43.3,9.3,2,13,19.1,8.3
E047,Joel Maisel,40.1,10.3,13.2,8.8,7,13,8.8,4.3
E048,Susie Myerson,41.9,3.8,30.9,10,5,15,9.4,5.9
E049,Abe Weissman,45.6,1.3,26.1,10,1,20,17,8.3
E050,Rose Weissman,42.6,7.1,44.7,8.3,1,10,22.3,8.2
E051,Imogene Cleary,39.2,8.4,36,9.5,3,3,6.3,5.8
E052,Shy Baldwin,42.1,9.5,24.1,8,3,19,17.5,8.4
E053,Lenny Bruce,41.5,8.5,38.5,8.3,1,3,17.4,7.7
E054,Moishe Maisel,48.7,4.8,26.1,9.3,1,14,26.9,10
E055,Shirley Maisel,40.8,10.1,40,9,4,8,18.1,7.3
E056,Ryan Young,38.1,10.9,27.6,8.5,3,4,21.9,8.7
E057,Davide Marchetti,42.2,4.4,40.5,9.4,0,20,20.7,9.1
E058,Kevin Sloan,41,7.5,34.4,8.9,4,11,9.3,6.5
E059,Kari Rowland,32.1,7.2,62.6,8.7,3,11,23.8,8.8
E060,Richard Chaney,39.9,8.7,29.5,8.7,0,11,21.1,8.9
E061,Armando Lugo,39.5,7.4,33.8,7.4,0,2,22.5,9.6
E062,Théo Lambert,37.3,7.8,25.2,8.5,0,17,39.6,10
E063,Casey Coleman,45.2,9.9,30,8.4,3,9,9.6,7.3
E064,Wendy Henry,36.1,4.7,5,8.6,0,2,28.6,10
E065,Craig Brown,42.3,10.2,34.7,8.4,1,15,18.6,8.6
E066,Lauren May,39.3,11.4,43.4,7.9,1,16,21.4,9.7
E067,Michaela Sanchez,40.5,12.9,34,8.6,3,4,19.8,7.4
E068,Olivia Watson,42.1,1.6,16.9,10,3,8,17.9,7.5
E069,Brooke Scott,33.5,7.5,22,8.4,3,9,17.2,7.7
E070,Charles Hamilton,41,2.1,5.7,9.5,3,5,21.6,8.2
E071,Alonso Segovia,51.4,0.7,39.8,9.8,1,16,12.4,8.4
